tipo_estabelecimento;uf;municipio;gestao;capacidade_total_final;capacidade_total_calculada;vagas_desativadas_total;capacidade_masculino_total;capacidade_feminino_total;capacidade_provisorios_total;capacidade_fechado_total;capacidade_semiaberto_total;capacidade_aberto_total;capacidade_rdd_total;capacidade_medida_internacao_total;capacidade_outros_total;pop_total_final;pop_total;pop_total_calculada;pop_provisorios_total;pop_fechado_total;pop_semiaberto_total;pop_aberto_total;pop_internacao_total;pop_tratamento_ambulatorial_total;pop_rdd_total;taxa_ocupacao;flag_superlotacao;perc_provisorios;perc_fechado;perc_semiaberto;perc_aberto;mov_entradas_total;mov_alvaras_total;mov_abandonos_total;mov_obitos_total;mov_transf_in_total;mov_transf_out_total;mov_perm_saida_total;mov_saida_temp_total;pop_18_29_total;perc_18_29;idade_18_24_total;idade_25_29_total;idade_30_34_total;idade_35_45_total;idade_46_60_total;idade_61_70_total;idade_70mais_total;idade_nao_info_total;raca_parda_preta_total;perc_parda_preta;raca_branca_total;raca_preta_total;raca_parda_total;raca_amarela_total;raca_indigena_total;raca_nao_info_total;proc_urb_interior_total;proc_urb_rm_total;proc_rural_total;civil_solteiro_total;civil_uniao_total;civil_casado_total;civil_separado_total;civil_divorciado_total;civil_viuvo_total;civil_nao_info_total;gestao_saude_terceirizada;gestao_assist_juridica_terceirizada;saude_nao_possui;saude_consultorio_medico;saude_consultorio_odontologico;saude_enfermagem;saude_farmacia;flag_sem_modulo_saude;educacao_nao_possui;educacao_sala_aula;educacao_sala_informatica;educacao_biblioteca;flag_sem_modulo_educacao;assist_juridica_nao;assist_juridica_defensoria;assist_juridica_dativos;assist_juridica_ong;flag_assist_juridica_defensoria;saude_consultas_ext_total;saude_consultas_no_estab_total;saude_consultas_psico_total;saude_consultas_odonto_total;saude_exames_total;saude_vacinas_total;saude_outros_proc_total;mortalidade_natural_total;mortalidade_criminal_total;mortalidade_suicidio_total;mortalidade_acidental_total;mortalidade_causa_desconhecida_total;controle_mais_90_dias;controle_semiaberto_aguardando_vaga;proc_urb_interior_masc;proc_urb_interior_fem;proc_urb_rm_masc;proc_urb_rm_fem;proc_rural_masc;proc_rural_fem;taxa_superlotacao_real;deficit_vagas;flag_sem_educacao;flag_sem_saude;flag_sem_assistencia_juridica;indice_precariedade_estrutura;taxa_entrada;taxa_saida;saldo_fluxo;indice_pressao_sistema;perc_solteiro;perc_procedencia_urb_interior;perc_procedencia_urb_rm;perc_procedencia_rural;flag_txt_controle_mais_90_dias;flag_txt_controle_semiaberto_aguardando_vaga
Domiciliar com monitoramento eletrônico;AC;Brasileia;Pública;178.0;178.0;0.0;157.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;178.0;178;178;178.0;45.0;0.0;133.0;0.0;0.0;0.0;0.0;1.0;0;0.2528089887640449;0.0;0.7471910112359551;0.0;12.0;10.0;0.0;2.0;5.0;2.0;0.0;0.0;83.0;0.4662921348314606;29.0;54.0;28.0;42.0;22.0;2.0;1.0;0.0;160.0;0.898876404494382;14.0;16.0;144.0;0.0;4.0;0.0;173.0;0.0;5.0;122.0;34.0;19.0;1.0;2.0;0.0;0.0;Não;Não;Sim;Não;Não;Não;Não;1;Sim;Não;Não;Não;1;Não;Sim;Não;Não;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;Não;Não;152.0;21.0;0.0;0.0;5.0;0.0;1.0;0.0;1;1;0.0;2.0;0.06741573033707865;0.056179775280898875;2.0;-0.263222104155052;0.6853932584269663;0.9719101123595506;0.0;0.028089887640449437;False;False
Domiciliar com monitoramento eletrônico;AC;Cruzeiro do Sul;Pública;349.0;349.0;0.0;321.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;349.0;349;349;349.0;94.0;0.0;255.0;0.0;0.0;0.0;0.0;1.0;0;0.2693409742120344;0.0;0.7306590257879656;0.0;37.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;143.0;0.4097421203438395;46.0;97.0;60.0;95.0;43.0;6.0;2.0;0.0;276.0;0.7908309455587392;67.0;26.0;250.0;2.0;4.0;0.0;0.0;0.0;0.0;;;;;;;;Não;Não;Sim;Não;Não;Não;Não;1;Sim;Não;Não;Não;1;Sim;Não;Não;Não;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Não;Não;;;;;;;1.0;0.0;1;1;1.0;3.0;0.10601719197707736;0.05730659025787966;17.0;-0.2426786222332689;;;;;False;False
Domiciliar com monitoramento eletrônico;AC;Feijó;Pública;353.0;353.0;0.0;313.0;40.0;0.0;0.0;0.0;0.0;0.0;0.0;353.0;353;353;353.0;154.0;0.0;199.0;0.0;0.0;0.0;0.0;1.0;0;0.4362606232294617;0.0;0.5637393767705382;0.0;38.0;27.0;0.0;3.0;75.0;22.0;3.0;9.0;0.0;0.0;;;;;;;;;0.0;0.0;;;;;;;0.0;0.0;0.0;;;;;;;;Não;Não;Sim;Não;Não;Não;Não;1;Sim;Não;Não;Não;1;Sim;Não;Não;Não;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;Não;Não;;;;;;;1.0;0.0;1;1;1.0;3.0;0.10764872521246459;0.0764872521246459;11.0;-0.06245690144393919;;;;;False;False
Domiciliar com monitoramento eletrônico;AC;Sena Madureira;Pública;199.0;199.0;0.0;169.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;199.0;199;199;199.0;52.0;2.0;145.0;0.0;0.0;0.0;0.0;1.0;0;0.2613065326633166;0.0100502512562814;0.7286432160804021;0.0;132.0;16.0;0.0;0.0;3.0;4.0;0.0;0.0;99.0;0.4974874371859296;38.0;61.0;39.0;12.0;3.0;3.0;6.0;37.0;177.0;0.8894472361809045;10.0;16.0;161.0;6.0;3.0;1.0;63.0;33.0;13.0;138.0;25.0;28.0;1.0;1.0;1.0;5.0;Não;Não;Sim;Não;Não;Não;Não;1;Sim;Não;Não;Não;1;Sim;Não;Não;Não;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Não;Não;54.0;9.0;22.0;11.0;12.0;1.0;1.0;0.0;1;1;1.0;3.0;0.6633165829145728;0.08040201005025126;116.0;-0.21228980049414967;0.6934673366834171;0.5779816513761468;0.30275229357798167;0.11926605504587157;False;False
Domiciliar com monitoramento eletrônico;AC;Rio Branco;Pública;1817.0;1817.0;0.0;1629.0;188.0;0.0;0.0;0.0;0.0;0.0;0.0;1817.0;1817;1817;1817.0;324.0;90.0;1403.0;0.0;0.0;0.0;0.0;1.0;0;0.17831590533847;0.0495321959273527;0.7721518987341772;0.0;995.0;446.0;0.0;14.0;353.0;156.0;0.0;0.0;702.0;0.3863511282333516;278.0;424.0;327.0;538.0;204.0;25.0;21.0;0.0;1683.0;0.9262520638414968;118.0;106.0;1577.0;0.0;16.0;0.0;0.0;0.0;0.0;1158.0;232.0;334.0;31.0;48.0;14.0;0.0;Não;Não;Sim;Não;Não;Não;Não;1;Sim;Não;Não;Não;1;Sim;Não;Não;Não;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;1.0;0.0;2.0;Sim. Quantos;Não;;;;;;;1.0;0.0;1;1;1.0;3.0;0.5476059438635112;0.24545954870665934;549.0;-0.30994674105635756;0.6373142542652724;;;;True;False
Cela física;AC;Rio Branco;Pública;759.0;759.0;0.0;759.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;759.0;1772;1772;1772.0;461.0;1297.0;4.0;0.0;10.0;0.0;0.0;2.334650856389987;1;0.2601580135440181;0.731941309255079;0.0022573363431151;0.0;732.0;161.0;0.0;1.0;0.0;0.0;0.0;0.0;862.0;0.4864559819413092;373.0;489.0;378.0;411.0;101.0;14.0;6.0;0.0;1704.0;0.9616252821670428;54.0;81.0;1623.0;5.0;9.0;0.0;0.0;0.0;0.0;1040.0;547.0;162.0;4.0;14.0;5.0;0.0;Não;Não;Não;Sim;Sim;Sim;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Não;Não;1;329.0;1450.0;0.0;36.0;25.0;0.0;591.0;0.0;1.0;0.0;0.0;0.0;Não;Não;;;;;;;2.334650856389987;1013.0;0;0;0.0;0.0;0.41309255079006774;0.09085778781038374;571.0;0.05835801777498284;0.5869074492099323;;;;False;False
Cela física;AC;Rio Branco;Pública;226.0;226.0;0.0;0.0;226.0;0.0;226.0;0.0;0.0;0.0;0.0;0.0;226;226;226.0;39.0;182.0;2.0;2.0;1.0;0.0;0.0;1.0;0;0.1725663716814159;0.8053097345132744;0.0088495575221238;0.0088495575221238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;0.4026548672566372;44.0;47.0;42.0;54.0;11.0;1.0;0.0;27.0;204.0;0.9026548672566372;18.0;14.0;190.0;0.0;0.0;3.0;0.0;0.0;0.0;113.0;61.0;36.0;0.0;2.0;3.0;11.0;Não;Não;Não;Sim;Não;Não;Sim;0;Não;Sim;Não;Sim;0;Não;Sim;Sim;Não;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Sim. Quantos;Não;;;;;;;1.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;-0.35452920060006693;0.5;;;;True;False
Cela física;AC;Rio Branco;Pública;792.0;792.0;0.0;792.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;792.0;1104;1104;1104.0;177.0;925.0;2.0;0.0;0.0;0.0;0.0;1.393939393939394;1;0.1603260869565217;0.8378623188405797;0.0018115942028985;0.0;337.0;91.0;0.0;1.0;0.0;0.0;0.0;0.0;471.0;0.4266304347826087;168.0;303.0;252.0;287.0;84.0;6.0;4.0;0.0;1049.0;0.9501811594202898;42.0;45.0;1004.0;4.0;9.0;0.0;0.0;0.0;0.0;685.0;290.0;117.0;2.0;9.0;1.0;0.0;Não;Não;Sim;Não;Não;Não;Não;1;Não;Sim;Sim;Sim;0;Não;Sim;Não;Não;1;161.0;973.0;9.0;12.0;4.0;0.0;705.0;0.0;1.0;0.0;0.0;0.0;Não;Não;;;;;;;1.393939393939394;312.0;0;1;0.0;1.0;0.3052536231884058;0.08242753623188406;246.0;-0.2609158143131163;0.6204710144927537;;;;False;False
Cela física;AC;Rio Branco;Pública;300.0;300.0;0.0;300.0;0.0;0.0;287.0;0.0;0.0;13.0;0.0;0.0;94;94;94.0;0.0;94.0;0.0;0.0;0.0;0.0;13.0;0.3133333333333333;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;7.0;18.0;0.0;13.0;0.1382978723404255;1.0;12.0;21.0;45.0;15.0;0.0;0.0;0.0;90.0;0.9574468085106383;3.0;7.0;83.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;;;;;Não;Não;Não;Sim;Não;Não;Não;0;Não;Não;Não;Sim;0;Não;Sim;Sim;Não;1;9.0;83.0;17.0;1.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Sim. Quantos;Sim. Quantos;;;;;;;0.3133333333333333;-206.0;0;0;0.0;0.0;0.0;0.0;0.0;-0.5407294263357717;;;;;True;True
Cela física;AC;Rio Branco;Pública;56.0;56.0;0.0;56.0;0.0;0.0;0.0;56.0;0.0;0.0;0.0;;1;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0178571428571428;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;0.0;0.0;;;;;;;0.0;0.0;0.0;;;;;;;;Não;Não;Sim;Não;Não;Não;Não;1;Sim;Não;Não;Não;1;Não;Sim;Não;Não;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Não;Não;;;;;;;0.0178571428571428;-55.0;1;1;0.0;2.0;0.0;0.0;0.0;-0.5407294263357717;;;;;False;False
